Field,Data Type,Preference 1,Preference 2,Notes,,,,
riskBand,Number (1-5),Summary_Document,,SEBI Riskometer,,,,
schemeType,String,KIM,,Scheme strategy/type,,,,
exitLoad,String,Summary_Document,,Exit load terms,,,,
aumCurrent,Number,Factsheet,,Current AUM,,,,
aumAggregate,Number,Factsheet,,Average AUM,,,,
aumEnd,Number,Factsheet,,Period end AUM,,,,
minInvestment,Number,KIM,Summary_Document,Minimum initial investment,,,,₹
additionalInvestment,Number,KIM,Summary_Document,Top-up amount,,,,
accreditedInvestorMinInvestment,Number,KIM,Summary_Document,Accredited investor minimum,,,,
panInvestmentThreshold,String,KIM,Summary_Document,PAN threshold,,,,
fundManagers,Array,Summary_Document,,Fund manager list,,,,
fundManagers.name,String,Summary_Document,,Manager name,,,,
fundManagers.designation,String,Factsheet,,Designation,,,,
fundManagers.experienceYears,String,Factsheet,,Experience,,,,
fundManagers.managingSince,String,Factsheet,,Managing since,,,,
benchmarkName,String,KIM,Summary_Document,Benchmark,,,,
benchmarkRiskBand,Number,KIM,Summary_Document,Benchmark risk,,,,
benchmarkDetails,String,KIM,Summary_Document,Benchmark description,,,,
assetAllocation,Array,KIM,Summary_Document,Allocation,,,,
assetAllocation.assetClass,String,KIM,Summary_Document,Asset class,,,,
assetAllocation.percentage,Number,KIM,Summary_Document,Allocation %,,,,
assetAllocationRanges,Array,KIM,Summary_Document,Allowed ranges,,,,
assetAllocationRanges.assetClass,String,KIM,Summary_Document,Asset class,,,,
assetAllocationRanges.min,Number,KIM,Summary_Document,Minimum %,,,,
assetAllocationRanges.max,Number,KIM,Summary_Document,Maximum %,,,,
portfolioByIndustry,Array,Factsheet,Portfolio_Disclosure,Industry allocation,,,,
portfolioByIndustry.industry,String,Factsheet,Portfolio_Disclosure,Industry,,,,
portfolioByIndustry.percentage,Number,Factsheet,Portfolio_Disclosure,Percentage,,,,
portfolioByRatingClass,Array,Factsheet,Portfolio_Disclosure,Rating allocation,,,,
portfolioByRatingClass.ratingClass,String,Factsheet,Portfolio_Disclosure,Rating,,,,
portfolioByRatingClass.percentage,Number,Factsheet,Portfolio_Disclosure,Percentage,,,,
topHoldings,Array,Factsheet,Portfolio_Disclosure,Portfolio holdings,,,,
topHoldings.name,String,Factsheet,Portfolio_Disclosure,Holding name,,,,
topHoldings.percentage,Number,Factsheet,Portfolio_Disclosure,Holding %,,,,
topHoldings.sector,String,Factsheet,Portfolio_Disclosure,Sector,,,,
topHoldings.rating,String,Factsheet,Portfolio_Disclosure,Rating,,,,
schemeCategory,String,KIM,,SEBI category,,,,
schemeNature,String,KIM,,Nature,,,,
inceptionDate,Date,KIM,,Launch date,,,,
planCodes,Array,KIM,,Plans,,,,
planCodes.planName,String,KIM,,Plan,,,,
planCodes.isin,String,KIM,,ISIN,,,,
redemptionFrequency,String,KIM,,Redemption,,,,
navCutoffTime,String,KIM,,Cutoff,,,,
redemptionPayoutDays,String,KIM,,Payout,,,,
redemptionNoticePeriod,String,KIM,,Notice,,,,
penalInterestRate,String,KIM,,Penalty,,,,
sipDetails,Array,XLS - Summary Document,,SIP options,,,,
sipDetails.frequency,String,XLS - Summary Document,,Frequency,,,,
sipDetails.minAmount,Number,XLS - Summary Document,,Amount,,,,
sipDetails.minInstallments,Number,XLS - Summary Document,,Installments,,,,
terMax,String,XLS - Summary Document,,Maximum TER,,,,
terSlabs,Array,KIM,,TER slabs,,,,
terSlabs.aumSlab,String,KIM,,AUM slab,,,,
terSlabs.ter,String,KIM,,TER,,,,
taxationSummary,String,KIM,,Tax,,,,
grossExposureLimit,String,KIM,,Exposure,,,,
derivativesRestrictions,String,KIM,,Restrictions,,,,
derivativeStrategies,Array,PPT,,Strategies,,,,
derivativeStrategies.name,String,PPT,,Strategy,,,,
derivativeStrategies.description,String,PPT,,Description,,,,
alphaGenerationApproach,String,PPT,,Alpha,,,,
sponsorName,String,KIM,,Sponsor,,,,
amcName,String,KIM,,AMC,,,,
trusteeName,String,KIM,,Trustee,,,,
registrarName,String,KIM,,Registrar,,,,
suitableFor,Long Text,KIM,,Investor suitability,,,,
notSuitableFor,Long Text,KIM,,Avoid,,,,
bullMarket,Long Text,PPT,,Bull,,,,
bearMarket,Long Text,PPT,,Bear,,,,
sidewaysMarket,Long Text,PPT,,Sideways,,,,
howItWorks,Long Text,PPT,,Explanation,,,,
mfEquivalent,Long Text,Manual / AI,,Comparable MF,,,,
portfolioFit,Long Text,Manual / AI,,Portfolio fit,,,,
