Scheme Name,Category,AMC,1M %,3M %,6M %,1Y %,SI %,Since,Latest NAV Date,Record Count
"qsif Equity Ex-Top 100 Long-Short Fund","Ex-100 L-S","Quant Mutual Fund",N/A,N/A,N/A,N/A,+0.36%,May '26,2026-05-29,3
"qsif Sector Rotation Long-Short Fund","Sector R L-S","Quant Mutual Fund",N/A,N/A,N/A,N/A,+0.30%,May '26,2026-05-29,3
"DynaSIF Equity Long - Short Fund","Equity L-S","360 ONE Mutual Fund",N/A,N/A,N/A,N/A,+0.24%,May '26,2026-05-29,3
"DynaSIF Active Asset Allocator Long- Short Fund","Hybrid L-S","360 ONE Mutual Fund",N/A,N/A,N/A,N/A,+0.19%,May '26,2026-05-29,3
"qsif Equity Long Short Fund","Equity L-S","Quant Mutual Fund",N/A,N/A,N/A,N/A,+0.10%,May '26,2026-05-29,3
"qsif Active Asset Allocator Long-Short Fund","Hybrid L-S","Quant Mutual Fund",N/A,N/A,N/A,N/A,+0.08%,May '26,2026-05-29,3
"Arudha Hybrid Long-Short Fund","Hybrid L-S","Bandhan Mutual Fund",N/A,N/A,N/A,N/A,-0.01%,May '26,2026-05-31,4
"Altiva Hybrid Long-Short Fund","Hybrid L-S","Edelweiss Mutual Fund",N/A,N/A,N/A,N/A,-0.06%,May '26,2026-05-29,3
"Apex Hybrid Long-Short Fund","Hybrid L-S","Aditya Birla Sun Life Mutual Fund",N/A,N/A,N/A,N/A,-0.20%,May '26,2026-05-29,3
"qsif Hybrid Long-Short Fund","Hybrid L-S","Quant Mutual Fund",N/A,N/A,N/A,N/A,-0.26%,May '26,2026-05-29,3
"Magnum Hybrid Long Short Fund","Hybrid L-S","SBI Mutual Fund",N/A,N/A,N/A,N/A,-0.57%,May '26,2026-05-31,4
"Magnum Hybrid Long Short Fund","Hybrid L-S","SBI Mutual Fund",N/A,N/A,N/A,N/A,-0.57%,May '26,2026-05-31,4
"WSIF Equity Ex-Top 100 Long-Short Fund","Ex-100 L-S","The Wealth Company",N/A,N/A,N/A,N/A,-0.60%,May '26,2026-05-29,3
"Titanium Hybrid Long-Short Fund","Hybrid L-S","Tata Mutual Fund",N/A,N/A,N/A,N/A,-0.63%,May '26,2026-05-29,3
"iSIF Hybrid Long-Short Fund","Hybrid L-S","ICICI Prudential Mutual Fund",N/A,N/A,N/A,N/A,-0.63%,May '26,2026-05-29,3
"Titanium Equity Long-Short Fund","Equity L-S","Tata Mutual Fund",N/A,N/A,N/A,N/A,-0.67%,May '26,2026-05-29,3
"Arudha Equity Long-Short Fund","Equity L-S","Bandhan Mutual Fund",N/A,N/A,N/A,N/A,-0.93%,May '26,2026-05-31,4
"WSIF Equity Long-Short Fund","Equity L-S","The Wealth Company",N/A,N/A,N/A,N/A,-0.98%,May '26,2026-05-29,3
"iSIF Equity Ex-Top 100 Long-Short Fund","Ex-100 L-S","ICICI Prudential Mutual Fund",N/A,N/A,N/A,N/A,-1.00%,May '26,2026-05-29,3
"Sapphire Equity Long-Short SIF","Equity L-S","Franklin Templeton Asset Management",N/A,N/A,N/A,N/A,-1.15%,May '26,2026-05-29,3
"Diviniti Equity Long Short Fund","Equity L-S","ITI Mutual Fund",N/A,N/A,N/A,N/A,-1.23%,May '26,2026-05-29,3
"Arthaya Equity Long Short Fund","Equity L-S","Union Mutual Fund",N/A,N/A,N/A,N/A,N/A,May '26,2026-05-29,1
